################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -7.2749101495202070E-02 a       300     0    12     1    25
  1.4194973399036531E-01 a       301     0    13     1     1
 -3.1717490365992801E-01 a       302     0    13     1     2
  1.6578135999509580E-01 a       303     0    13     1     3
  2.2834182158098584E-01 a       304     0    13     1     4
 -3.8887954469819339E-02 a       305     0    13     1     5
  1.6442421021983514E-01 a       306     0    13     1     6
 -1.5216194089430519E-02 a       307     0    13     1     7
 -2.4005965056122434E-02 a       308     0    13     1     8
  2.2017412759500407E-01 a       309     0    13     1     9
 -6.7473698531124657E-02 a       310     0    13     1    10
  6.0463721153380754E-03 a       311     0    13     1    11
 -1.8619852168046644E-01 a       312     0    13     1    12
 -1.7693022386847054E-01 a       313     0    13     1    13
 -2.5210633531636124E-02 a       314     0    13     1    14
  1.5336135528579370E-01 a       315     0    13     1    15
  1.5460482244112023E-01 a       316     0    13     1    16
  2.3349658789714522E-01 a       317     0    13     1    17
  1.8677604568736283E-01 a       318     0    13     1    18
  2.1203204744526295E-02 a       319     0    13     1    19
  1.1782051102687784E-02 a       320     0    13     1    20
 -1.0921553144351736E-02 a       321     0    13     1    21
  1.6189378106073121E-01 a       322     0    13     1    22
 -5.6576265636794576E-02 a       323     0    13     1    23
 -7.5934082713142769E-03 a       324     0    13     1    24
 -3.3787077529647817E-02 a       325     0    13     1    25
 -1.7935201664829026E-01 a       326     0    14     1     1
 -4.8625544731554449E-02 a       327     0    14     1     2
  9.6806143069585335E-02 a       328     0    14     1     3
  1.4934617974399980E-01 a       329     0    14     1     4
  9.3094373618846163E-02 a       330     0    14     1     5
 -7.2257708880311871E-03 a       331     0    14     1     6
  8.8684886898647314E-02 a       332     0    14     1     7
  3.8874409033564671E-03 a       333     0    14     1     8
 -1.5920672365986481E-02 a       334     0    14     1     9
 -8.3056264218151748E-03 a       335     0    14     1    10
  1.8065756993221277E-01 a       336     0    14     1    11
 -4.0455041956184386E-02 a       337     0    14     1    12
 -6.3818104795719125E-03 a       338     0    14     1    13
  4.4402964247038268E-02 a       339     0    14     1    14
 -2.2277776349226040E-02 a       340     0    14     1    15
